2,854,-6,1217,2,0,0,355,2475
3,853,-7,1225,10,0,0,357,2475
4,856,-4,1203,-12,0,0,336,2475
5,857,-3,1229,14,0,0,344,2475
6,854,-6,1220,5,0,0,338,2475
7,855,-5,1157,-18,0,0,334,2475
1,851,-9,1201,-14,0,0,330,2475
2,855,-5,1245,30,0,0,332,2475
3,857,-3,1206,-9,0,0,330,2475
4,852,-8,1158,-17,0,0,338,2475
5,908,8,1230,15,0,0,337,2475
6,849,-11,1205,-10,0,0,341,2475
7,854,-6,1212,-3,0,0,334,2475
1,852,-8,1147,-28,0,0,330,2475
2,855,-5,1308,53,0,0,336,2475
3,904,4,1254,39,0,0,347,2475
4,927,27,1220,5,0,0,325,2475
5,855,-5,1155,-20,0,0,332,2475
6,904,4,1143,-32,0,0,316,2475
7,932,32,1211,-4,0,0,312,2475
1,853,-7,1147,-28,0,0,315,2475
2,853,-7,1150,-25,0,0,328,2475
3,859,-1,1226,11,0,0,341,2475
4,858,-2,1243,28,0,0,351,2475
5,856,-4,1223,8,0,0,353,2475
6,852,-8,1219,4,0,0,343,2475
7,850,-10,1213,-2,0,0,345,2475
1,855,-5,1143,-32,0,0,320,2475
2,852,-8,1212,-3,0,0,320,2475
3,857,-3,1159,-16,0,0,318,2475
2,944,14,1736,-29,0,0,269,2475
3,923,-7,1709,-56,0,0,260,2475
4,924,-6,1739,-26,0,0,288,2475
5,924,-6,1757,-8,0,0,284,2475
6,929,-1,1738,-27,0,0,288,2475
7,NA,NA,NA,NA,1,0,NA,2475
1,931,1,1744,-21,0,0,296,2475
2,932,2,1814,9,0,0,300,2475
3,928,-2,1753,-12,0,0,296,2475
4,921,-9,1743,-22,0,0,281,2475
5,954,24,1833,28,0,0,288,2475
6,940,10,1742,-23,0,0,274,2475
7,928,-2,1735,-30,0,0,287,2475
1,939,9,1749,-16,0,0,285,2475
2,924,-6,1747,-18,0,0,291,2475
3,938,8,1748,-17,0,0,284,2475
4,942,12,1826,21,0,0,304,2475
5,924,-6,1758,-7,0,0,294,2475
6,1032,62,1902,57,0,0,302,2475
7,923,-7,1757,-8,0,0,304,2475
1,929,-1,1753,-12,0,0,296,2475
2,928,-2,1726,-39,0,0,273,2475
3,925,-5,1743,-22,0,0,294,2475
4,954,24,1804,-1,0,0,281,2475
5,932,2,1731,-34,0,0,277,2475
6,927,-3,1726,-39,0,0,278,2475
7,927,-3,1800,-5,0,0,302,2475
1,929,-1,1759,-6,0,0,301,2475
2,946,16,1838,33,0,0,313,2475
3,957,27,1838,33,0,0,310,2475
2,1224,-6,1614,39,0,0,371,2475
3,1223,-7,1548,13,0,0,355,2475
4,1224,-6,1538,3,0,0,345,2475
5,1228,-2,1544,9,0,0,338,2475
6,1229,-1,1536,1,0,0,338,2475
7,1226,-4,1517,-18,0,0,328,2475
1,1224,-6,1539,4,0,0,320,2475
2,1225,-5,1528,-7,0,0,328,2475
3,1225,-5,1529,-6,0,0,331,2475
4,1221,-9,1526,-9,0,0,333,2475
5,1250,20,1618,43,0,0,349,2475
6,1223,-7,1517,-18,0,0,325,2475
7,1229,-1,1546,11,0,0,343,2475
1,1222,-8,1538,3,0,0,343,2475
2,1226,-4,1553,18,0,0,339,2475
3,1227,-3,1543,8,0,0,344,2475
4,1232,2,1600,25,0,0,324,2475
5,1222,-8,1509,-26,0,0,322,2475
6,1225,-5,1519,-16,0,0,326,2475
7,1221,-9,1517,-18,0,0,310,2475
1,1221,-9,1508,-27,0,0,315,2475
2,1223,-7,1513,-22,0,0,324,2475
3,1222,-8,1527,-8,0,0,338,2475
4,1222,-8,1532,-3,0,0,343,2475
5,1303,33,1602,27,0,0,337,2475
